Unnamed: 0,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful,period
National,112,77.8%,32,22.2%,"10,282",78.6%,"2,799",21.4%,967,74.4%,333,25.6%,"1,192",88.2%,159,11.8%,359,82.7%,75,17.3%,"6,467",92.6%,514,7.4%,901,86.7%,138,13.3%,"1,765",85.2%,306,14.8%,"3,645",93.6%,251,6.4%,"3,208",86.1%,516,13.9%,749,87.1%,111,12.9%,"7,252",85.3%,"1,251",14.7%,873,100.0%,Nov.csv 2018
Avon and Somerset,4,80.0%,1,20.0%,291,79.5%,75,20.5%,36,76.6%,11,23.4%,30,93.8%,2,6.3%,9,81.8%,2,18.2%,140,94.6%,8,5.4%,25,78.1%,7,21.9%,58,79.5%,15,20.5%,94,94.0%,6,6.0%,84,86.6%,13,13.4%,26,92.9%,2,7.1%,201,93.1%,15,6.9%,34,100.0%,Nov.csv 2018
Bedfordshire,1,100.0%,0,0.0%,90,75.6%,29,24.4%,6,100.0%,0,0.0%,11,91.7%,1,8.3%,2,100.0%,0,0.0%,53,84.1%,10,15.9%,10,83.3%,2,16.7%,16,76.2%,5,23.8%,25,89.3%,3,10.7%,23,71.9%,9,28.1%,7,87.5%,1,12.5%,87,73.1%,32,26.9%,17,100.0%,Nov.csv 2018
Cambridgeshire,0,-,0,-,124,82.7%,26,17.3%,11,91.7%,1,8.3%,24,100.0%,0,0.0%,14,87.5%,2,12.5%,79,92.9%,6,7.1%,7,100.0%,0,0.0%,16,80.0%,4,20.0%,25,100.0%,0,0.0%,24,85.7%,4,14.3%,2,100.0%,0,0.0%,88,94.6%,5,5.4%,5,100.0%,Nov.csv 2018
Cheshire,0,-,0,-,292,81.3%,67,18.7%,18,72.0%,7,28.0%,11,84.6%,2,15.4%,6,75.0%,2,25.0%,186,94.4%,11,5.6%,19,82.6%,4,17.4%,37,92.5%,3,7.5%,99,97.1%,3,2.9%,105,92.1%,9,7.9%,23,88.5%,3,11.5%,266,86.4%,42,13.6%,8,100.0%,Nov.csv 2018
Cleveland,0,-,0,-,134,81.7%,30,18.3%,8,100.0%,0,0.0%,35,89.7%,4,10.3%,6,100.0%,0,0.0%,228,97.0%,7,3.0%,12,85.7%,2,14.3%,30,76.9%,9,23.1%,55,94.8%,3,5.2%,56,87.5%,8,12.5%,16,94.1%,1,5.9%,90,90.0%,10,10.0%,7,100.0%,Nov.csv 2018
Cumbria,1,100.0%,0,0.0%,107,87.0%,16,13.0%,3,75.0%,1,25.0%,6,66.7%,3,33.3%,0,0,0,0,75,97.4%,2,2.6%,6,85.7%,1,14.3%,19,86.4%,3,13.6%,26,96.3%,1,3.7%,37,97.4%,1,2.6%,2,66.7%,1,33.3%,77,91.7%,7,8.3%,2,100.0%,Nov.csv 2018
Derbyshire,1,100.0%,0,0.0%,184,80.3%,45,19.7%,7,100.0%,0,0.0%,14,82.4%,3,17.6%,8,88.9%,1,11.1%,124,89.9%,14,10.1%,18,94.7%,1,5.3%,46,86.8%,7,13.2%,55,98.2%,1,1.8%,48,92.3%,4,7.7%,22,100.0%,0,0.0%,120,83.9%,23,16.1%,15,100.0%,Nov.csv 2018
Devon and Cornwall,4,80.0%,1,20.0%,217,87.5%,31,12.5%,9,81.8%,2,18.2%,28,93.3%,2,6.7%,5,83.3%,1,16.7%,98,95.1%,5,4.9%,11,91.7%,1,8.3%,37,90.2%,4,9.8%,56,100.0%,0,0.0%,66,93.0%,5,7.0%,5,83.3%,1,16.7%,189,89.6%,22,10.4%,12,100.0%,Nov.csv 2018
Dorset,0,0.0%,1,100.0%,139,88.0%,19,12.0%,11,64.7%,6,35.3%,13,92.9%,1,7.1%,2,66.7%,1,33.3%,84,94.4%,5,5.6%,14,93.3%,1,6.7%,23,92.0%,2,8.0%,36,97.3%,1,2.7%,50,90.9%,5,9.1%,11,84.6%,2,15.4%,132,89.2%,16,10.8%,13,100.0%,Nov.csv 2018
Durham,1,100.0%,0,0.0%,114,84.4%,21,15.6%,3,75.0%,1,25.0%,19,76.0%,6,24.0%,3,100.0%,0,0.0%,94,94.9%,5,5.1%,8,100.0%,0,0.0%,10,62.5%,6,37.5%,14,100.0%,0,0.0%,35,85.4%,6,14.6%,6,85.7%,1,14.3%,97,94.2%,6,5.8%,5,100.0%,Nov.csv 2018
Dyfed Powys,0,-,0,-,86,81.9%,19,18.1%,8,72.7%,3,27.3%,5,83.3%,1,16.7%,0,0,0,0,42,95.5%,2,4.5%,1,100.0%,0,0.0%,17,85.0%,3,15.0%,27,96.4%,1,3.6%,20,80.0%,5,20.0%,3,75.0%,1,25.0%,63,86.3%,10,13.7%,9,100.0%,Nov.csv 2018
