Number.of.Homicide.Convictions,Number.of.Homicide.Unsuccessful,Number.of.Offences.Against.The.Person.Convictions,Number.of.Offences.Against.The.Person.Unsuccessful,Number.of.Sexual.Offences.Convictions,Number.of.Sexual.Offences.Unsuccessful,Number.of.Burglary.Convictions,Number.of.Burglary.Unsuccessful,Number.of.Robbery.Convictions,Number.of.Robbery.Unsuccessful,Number.of.Theft.And.Handling.Convictions,Number.of.Theft.And.Handling.Unsuccessful,Number.of.Fraud.And.Forgery.Convictions,Number.of.Fraud.And.Forgery.Unsuccessful,Number.of.Criminal.Damage.Convictions,Number.of.Criminal.Damage.Unsuccessful,Number.of.Drugs.Offences.Convictions,Number.of.Drugs.Offences.Unsuccessful,Number.of.Public.Order.Offences.Convictions,Number.of.Public.Order.Offences.Unsuccessful,Number.of.All.Other.Offences..excluding.Motoring..Convictions,Number.of.All.Other.Offences..excluding.Motoring..Unsuccessful,Number.of.Motoring.Offences.Convictions,Number.of.Motoring.Offences.Unsuccessful,Number.of.Admin.Finalised.Unsuccessful
54 ,20 ,10056 ,2644 ,994 ,337 ,1099 ,188 ,370 ,92 ,6192 ,579 ,867 ,140 ,1767 ,245 ,3465 ,283 ,3296 ,570,739,119,7167 ,1160 ,948
2 ,1 ,255 ,62 ,41 ,9 ,29 ,3 ,8 ,4 ,140 ,7 ,25 ,2 ,60 ,10 ,53 ,4 ,75 ,9,14,3,184,21,33
0 ,0 ,115 ,18 ,4 ,0 ,8 ,1 ,6 ,0 ,68 ,10 ,7 ,1 ,9 ,3 ,17 ,2 ,19 ,6,5,1,97,25,22
1 ,0 ,108 ,27 ,13 ,1 ,12 ,1 ,0 ,1 ,65 ,3 ,9 ,0 ,17 ,1 ,23 ,2 ,23 ,2,6,4,70,7,16
3 ,1 ,263 ,64 ,18 ,11 ,17 ,3 ,7 ,2 ,145 ,14 ,15 ,0 ,40 ,3 ,103 ,4 ,123 ,16,12,2,230,41,12
1 ,1 ,118 ,36 ,10 ,1 ,22 ,11 ,7 ,1 ,175 ,5 ,15 ,4 ,30 ,4 ,48 ,4 ,46 ,8,7,0,55,10,4
0 ,0 ,102 ,11 ,3 ,0 ,8 ,3 ,5 ,1 ,71 ,5 ,7 ,1 ,19 ,0 ,19 ,0 ,21 ,1,4,0,99,6,2
0 ,0 ,173 ,35 ,13 ,1 ,17 ,0 ,10 ,0 ,131 ,13 ,18 ,0 ,31 ,2 ,51 ,7 ,62 ,5,11,1,100,13,11
1 ,0 ,195 ,29 ,8 ,3 ,33 ,2 ,2 ,0 ,111 ,4 ,7 ,1 ,37 ,3 ,56 ,1 ,72 ,8,8,4,178,20,11
1 ,1 ,132 ,22 ,17 ,1 ,8 ,2 ,3 ,3 ,68 ,2 ,5 ,1 ,24 ,4 ,41 ,2 ,53 ,9,11,1,96,18,7
0 ,0 ,134 ,17 ,7 ,2 ,19 ,1 ,2 ,1 ,139 ,7 ,6 ,0 ,22 ,2 ,14 ,0 ,24 ,0,7,1,103,2,7
1 ,0 ,74 ,20 ,7 ,4 ,3 ,1 ,0 ,0 ,46 ,3 ,1 ,0 ,14 ,0 ,39 ,2 ,26 ,1,4,0,66,5,5
4 ,0 ,283 ,61 ,32 ,15 ,25 ,4 ,7 ,1 ,116 ,9 ,18 ,4 ,42 ,7 ,73 ,5 ,64 ,8,19,3,188,77,25
0 ,0 ,69 ,11 ,4 ,1 ,2 ,1 ,1 ,0 ,47 ,4 ,5 ,2 ,16 ,0 ,18 ,0 ,23 ,3,2,0,54,7,8
2 ,0 ,493 ,104 ,71 ,32 ,51 ,6 ,38 ,7 ,171 ,10 ,26 ,4 ,76 ,12 ,106 ,10 ,168 ,12,34,5,367,37,33
0 ,0 ,103 ,18 ,7 ,3 ,18 ,0 ,2 ,0 ,100 ,7 ,5 ,0 ,20 ,6 ,39 ,1 ,36 ,6,11,1,77,12,4
0 ,0 ,276 ,50 ,35 ,10 ,24 ,6 ,7 ,0 ,150 ,20 ,19 ,4 ,50 ,10 ,49 ,3 ,57 ,13,14,2,209,14,23
1 ,0 ,150 ,47 ,10 ,3 ,18 ,3 ,6 ,2 ,152 ,8 ,17 ,4 ,29 ,3 ,54 ,2 ,35 ,6,6,6,114,29,25
1 ,0 ,173 ,41 ,11 ,6 ,19 ,3 ,6 ,1 ,129 ,11 ,8 ,3 ,40 ,3 ,52 ,11 ,48 ,7,3,1,95,14,32
1 ,1 ,279 ,75 ,21 ,11 ,41 ,0 ,10 ,0 ,139 ,16 ,29 ,2 ,62 ,6 ,77 ,6 ,59 ,14,21,3,160,22,30
2 ,1 ,264 ,71 ,8 ,3 ,39 ,3 ,9 ,5 ,195 ,12 ,24 ,7 ,58 ,6 ,68 ,3 ,126 ,16,32,2,257,56,16
2 ,1 ,205 ,36 ,18 ,9 ,18 ,5 ,10 ,0 ,70 ,6 ,17 ,4 ,31 ,6 ,31 ,3 ,53 ,7,9,1,100,18,12
1 ,1 ,122 ,30 ,9 ,0 ,19 ,2 ,1 ,0 ,91 ,8 ,15 ,1 ,29 ,4 ,43 ,7 ,55 ,9,6,0,133,34,9
5 ,1 ,321 ,59 ,37 ,9 ,18 ,3 ,15 ,0 ,176 ,10 ,22 ,0 ,49 ,3 ,177 ,8 ,104 ,11,16,3,266,39,17
9 ,4 ,1455 ,626 ,141 ,73 ,175 ,51 ,73 ,30 ,687 ,157 ,210 ,42 ,198 ,51 ,904 ,98 ,457 ,154,192,23,850,238,217
0 ,0 ,175 ,21 ,4 ,1 ,11 ,1 ,3 ,1 ,100 ,3 ,22 ,2 ,26 ,5 ,41 ,0 ,82 ,9,6,4,120,8,12
1 ,0 ,117 ,39 ,9 ,1 ,14 ,1 ,4 ,0 ,54 ,6 ,3 ,1 ,29 ,4 ,23 ,2 ,26 ,2,13,1,98,11,11
3 ,0 ,257 ,77 ,51 ,12 ,37 ,9 ,5 ,5 ,301 ,21 ,26 ,6 ,63 ,4 ,73 ,9 ,154 ,36,21,4,214,34,13
2 ,1 ,152 ,27 ,13 ,5 ,11 ,2 ,4 ,3 ,87 ,5 ,7 ,0 ,22 ,1 ,43 ,2 ,53 ,3,4,1,125,10,2
2 ,0 ,139 ,42 ,4 ,0 ,16 ,3 ,0 ,0 ,127 ,10 ,12 ,3 ,24 ,4 ,30 ,4 ,63 ,19,9,2,128,15,38
1 ,0 ,238 ,57 ,56 ,9 ,23 ,6 ,4 ,2 ,165 ,7 ,15 ,1 ,49 ,6 ,104 ,11 ,114 ,24,16,3,144,13,13
0 ,0 ,359 ,120 ,39 ,6 ,38 ,3 ,11 ,3 ,252 ,18 ,26 ,2 ,72 ,10 ,130 ,8 ,137 ,20,17,5,226,71,17
1 ,1 ,266 ,74 ,15 ,2 ,50 ,7 ,5 ,3 ,195 ,29 ,12 ,3 ,57 ,6 ,69 ,2 ,79 ,5,20,4,162,27,20
1 ,1 ,210 ,47 ,14 ,14 ,35 ,3 ,8 ,0 ,136 ,8 ,24 ,4 ,41 ,5 ,65 ,3 ,55 ,3,11,1,156,21,19
0 ,0 ,127 ,13 ,7 ,0 ,11 ,2 ,2 ,0 ,40 ,2 ,6 ,1 ,28 ,1 ,45 ,3 ,30 ,0,3,1,72,4,3
0 ,0 ,124 ,37 ,16 ,2 ,19 ,2 ,1 ,0 ,67 ,6 ,20 ,2 ,23 ,3 ,48 ,4 ,23 ,7,10,1,117,9,8
0 ,0 ,226 ,65 ,24 ,11 ,19 ,1 ,2 ,0 ,108 ,13 ,14 ,2 ,22 ,7 ,69 ,6 ,65 ,10,17,2,216,18,11
3 ,1 ,278 ,95 ,31 ,11 ,32 ,7 ,10 ,3 ,170 ,10 ,36 ,3 ,51 ,9 ,124 ,6 ,91 ,12,31,3,313,32,31
0 ,0 ,58 ,16 ,8 ,6 ,9 ,2 ,2 ,0 ,55 ,8 ,7 ,1 ,14 ,2 ,22 ,2 ,20 ,3,1,0,69,21,6
0 ,0 ,198 ,57 ,12 ,6 ,15 ,4 ,1 ,0 ,150 ,10 ,18 ,1 ,45 ,6 ,64 ,2 ,70 ,15,25,6,222,17,10
2 ,3 ,663 ,171 ,76 ,22 ,53 ,13 ,35 ,10 ,467 ,44 ,49 ,16 ,92 ,12 ,202 ,19 ,231 ,46,50,9,311,57,76
0 ,0 ,495 ,103 ,62 ,20 ,52 ,6 ,36 ,2 ,253 ,24 ,31 ,4 ,80 ,10 ,129 ,13 ,141 ,21,26,5,252,24,70
0 ,0 ,112 ,13 ,8 ,1 ,11 ,1 ,2 ,1 ,83 ,4 ,9 ,1 ,26 ,1 ,29 ,2 ,33 ,4,5,0,74,3,7
80 ,20 ,8018 ,2070 ,853 ,289 ,875 ,107 ,294 ,79 ,5134 ,425 ,721 ,105 ,1356 ,252 ,2940 ,209 ,2462 ,373,680,105,"5,954",933,894
0 ,0 ,203 ,39 ,48 ,12 ,26 ,5 ,7 ,1 ,126 ,7 ,19 ,0 ,38 ,3 ,61 ,3 ,64 ,13,10,3,137,8,36
0 ,0 ,77 ,25 ,7 ,0 ,18 ,2 ,2 ,0 ,43 ,8 ,4 ,1 ,13 ,4 ,22 ,0 ,17 ,2,1,1,69,13,14
0 ,0 ,115 ,26 ,7 ,2 ,11 ,3 ,0 ,2 ,57 ,3 ,10 ,1 ,24 ,2 ,23 ,3 ,27 ,3,3,2,63,3,17
1 ,1 ,206 ,50 ,22 ,7 ,18 ,3 ,8 ,0 ,126 ,10 ,7 ,1 ,41 ,3 ,61 ,5 ,77 ,13,11,0,190,34,18
0 ,0 ,94 ,32 ,5 ,1 ,31 ,4 ,6 ,0 ,181 ,11 ,11 ,1 ,33 ,0 ,59 ,2 ,41 ,5,4,0,50,12,5
1 ,0 ,101 ,15 ,4 ,0 ,1 ,0 ,1 ,1 ,60 ,3 ,5 ,2 ,11 ,3 ,22 ,0 ,35 ,3,5,0,77,7,1
1 ,0 ,129 ,28 ,8 ,1 ,13 ,0 ,3 ,0 ,120 ,14 ,11 ,0 ,21 ,7 ,42 ,2 ,44 ,10,16,15,82,17,8
1 ,0 ,152 ,29 ,11 ,0 ,11 ,0 ,3 ,2 ,78 ,4 ,5 ,1 ,32 ,2 ,38 ,5 ,33 ,9,5,0,151,22,10
0 ,0 ,97 ,11 ,5 ,3 ,12 ,1 ,5 ,0 ,72 ,3 ,10 ,0 ,15 ,4 ,35 ,1 ,22 ,9,8,2,117,8,22
3 ,0 ,81 ,21 ,2 ,0 ,18 ,3 ,1 ,0 ,80 ,10 ,4 ,0 ,19 ,3 ,8 ,0 ,26 ,1,3,0,58,3,4
0 ,0 ,42 ,10 ,9 ,1 ,4 ,1 ,0 ,0 ,24 ,5 ,1 ,0 ,14 ,0 ,31 ,0 ,16 ,3,3,1,46,4,5
1 ,0 ,189 ,50 ,29 ,10 ,30 ,1 ,5 ,0 ,109 ,4 ,24 ,5 ,26 ,7 ,91 ,6 ,50 ,7,9,2,203,43,23
1 ,0 ,57 ,6 ,3 ,0 ,10 ,0 ,1 ,0 ,37 ,1 ,3 ,2 ,11 ,0 ,17 ,0 ,13 ,0,4,1,38,5,5
